Column,ID_PER,CVE_ENT,NOM_ENT,CEN_INT,NOM_INT,COD_RES,SEXO,FUERO,P2_1,P2_2,P2_3_01,P2_3_02,P2_3_03,P2_3_04,P2_3_05,P2_3_06,P2_3_07,P2_3_08,P2_3_09,P2_3_10,P2_3_98,P2_3_99,P2_4,P2_5,P2_6,P2_7_1,P2_8A_1,P2_8M_1,P2_9_1,P2_7_2,P2_8A_2,P2_8M_2,P2_9_2,P2_7_3,P2_8A_3,P2_8M_3,P2_9_3,P2_7_4,P2_8A_4,P2_8M_4,P2_9_4,P2_7_5,P2_8A_5,P2_8M_5,P2_9_5,P2_7_6,P2_8A_6,P2_8M_6,P2_9_6,P2_7_7,P2_8A_7,P2_8M_7,P2_9_7,P2_7_8,P2_8A_8,P2_8M_8,P2_9_8,P2_7_9,P2_8A_9,P2_8M_9,P2_9_9,P2_7_10,P2_8A_10,P2_8M_10,P2_9_10,P2_10_E,R2_10_CVE,R2_10_X,P2_11,P2_12,P2_13,P2_14_1,P2_14_2,P2_14_3,P2_14_4,P2_14_5,P2_14_6,P2_14_7,P2_14_8,P2_14_9,P2_15,P3_1,P3_2,P3_2A_01,P3_2A_02,P3_2A_03,P3_2A_04,P3_2A_05,P3_2A_06,P3_2A_07,P3_2A_08,P3_2A_98,P3_2A_99,P3_3,P3_4,P3_5_D,P3_5_M,P3_5_A,P3_6,P3_7,P3_8_D,P3_8_M,P3_8_A,P3_9,P3_10,P3_11,P3_12_1,P3_12_2,P3_12_3,P3_12_4,P3_12_5,P3_13_01,P3_13_02,P3_13_03,P3_13_04,P3_13_05,P3_13_06,P3_13_07,P3_13_08,P3_13_09,P3_13_10,P3_13_11,P3_13_12,P3_14_1,P3_14_2,P3_14_3,P3_14_4,P3_14_5,P3_14_6,P3_15_1,P3_15_2,P3_15_3,P3_15_4,P3_15_5,P3_15_6,P3_15_7,P3_15_8,P3_15_9,P3_16,P3_17_01,P3_17_02,P3_17_03,P3_17_04,P3_17_05,P3_17_06,P3_17_07,P3_17_08,P3_17_09,P3_17_10,P3_17_11,P3_18_01,P3_18_02,P3_18_03,P3_18_04,P3_18_05,P3_18_06,P3_18_07,P3_18_08,P3_18_09,P3_18_10,P3_18_11,P3_18_12,P3_18_13,P3_18_14,P3_18_15,P3_19,P3_20,P3_21_1,P3_21_2,P3_22_1,P3_22_2,P3_22_3,P3_22_4,P3_22_5,P3_22_8,P3_22_9,P3_23,P3_24,P3_25,P3_26,EST_DIS,FAC_PER,FPC
47420,2489.3755,27,Tabasco,50,CERESO VILLAHERMOSA,01,1,2,27,01,0,1,0,0,0,0,0,0,0,0,0,0,1,01,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,DESPACHADOR DE GASOLINA,4211,04,2,NA,03,2,1,2,1,2,1,3,2,2,6,1,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,004,17,03,2017,27,004,03,01,2016,6,3,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,2,2,2,2,NA,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,04,07,1,1,1,0,0,0,0,0,0,2,NA,1,4,0573.1,2.9999999999999996,0.38732394366197181
47428,2489.6556,05,Coahuila de Zaragoza,NA,NA,01,1,2,05,01,0,0,1,0,1,0,0,0,0,0,0,0,1,02,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,JORNALERO,9899,09,1,NA,NA,1,2,1,2,1,1,1,2,2,3,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05,035,23,05,2008,05,033,25,11,2007,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2226.1,4.8888888888888893,0.1924198250728863
47452,2490.6240,27,Tabasco,50,CERESO VILLAHERMOSA,01,1,2,27,01,0,0,0,0,0,0,1,0,0,0,0,0,1,04,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,TALLER DE HERRERIA,9999,99,NA,NA,99,1,1,1,2,1,1,1,2,1,5,4,02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,004,29,08,2020,27,004,29,08,2020,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,1,1,1,2,2,NA,2,2,1,2,2,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,03,03,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0573.1,2.9999999999999996,0.38732394366197181
47466,2491.4883,23,Quintana Roo,NA,NA,01,1,2,23,03,1,0,0,0,0,0,0,0,0,0,0,0,1,02,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,PROMOTOR DE VENTAS,4221,04,2,NA,06,1,2,1,2,1,1,3,1,1,6,1,02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,004,17,07,2020,23,004,17,07,2020,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,1,1,2,2,NA,1,1,1,1,1,1,1,2,2,NA,NA,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01,03,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0191.1,2.7964824120603016,0.3537777777777778
47471,2491.9580,23,Quintana Roo,NA,NA,01,1,2,23,01,0,0,0,1,0,0,0,0,0,0,0,0,1,01,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,TALLER DE ELECTRONICA,9999,99,NA,NA,99,1,2,1,2,2,1,1,2,1,1,1,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,004,18,12,2018,23,004,98,09,2017,6,3,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,2,2,2,NA,1,1,2,1,1,1,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,02,01,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0191.1,2.7964824120603016,0.3537777777777778
47481,2492.2864,27,Tabasco,50,CERESO VILLAHERMOSA,01,1,2,27,01,0,0,1,0,0,0,1,0,0,0,0,0,1,05,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,01,00,2,2,NA,NA,NA,AYUDANTE DE ALBANIL,9221,09,1,NA,NA,1,1,2,1,2,2,1,2,2,3,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,004,10,02,2016,27,004,02,02,2016,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0573.1,2.9999999999999996,0.38732394366197181
47495,2493.0116,27,Tabasco,50,CERESO VILLAHERMOSA,01,1,2,27,01,0,1,0,0,0,0,1,0,0,0,0,0,1,03,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,CHOFER DE MOTO,8344,08,1,NA,NA,1,2,1,1,2,2,1,2,1,2,1,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,004,04,05,2015,27,004,15,01,2015,5,3,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,2,2,2,NA,2,2,2,1,2,1,1,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,05,03,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0573.1,2.9999999999999996,0.38732394366197181
47516,2494.0240,07,Chiapas,NA,NA,01,1,2,07,01,0,0,1,0,0,0,0,0,0,0,0,0,1,01,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,EMPLEADO CLINICA NATURISTA,9999,99,NA,NA,99,1,2,1,1,2,1,3,2,1,3,3,03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07,087,27,03,2015,04,003,16,09,2013,6,5,1,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,2,2,2,NA,2,2,1,2,2,2,2,2,2,NA,NA,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,03,04,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1966.1,4.0528301886792448,0.25728155339805825
47518,2494.1436,23,Quintana Roo,NA,NA,01,1,2,23,01,0,1,1,0,0,0,0,0,0,0,0,0,1,05,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,AYUDANTE DE ALBANIL,9221,09,1,NA,NA,1,2,1,1,2,2,1,1,1,2,1,02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,005,16,12,2020,23,005,14,12,2020,2,4,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,NA,2,2,1,2,2,2,1,2,2,NA,NA,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,01,05,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0381.1,3.4632352941176476,0.33090024330900242
47530,2494.8621,27,Tabasco,NA,NA,01,1,2,27,01,0,0,0,0,1,0,0,1,0,0,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,VELADOR,5313,05,1,NA,NA,2,2,1,1,1,1,1,2,1,2,1,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,010,08,11,2017,27,010,13,01,2013,6,3,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,2,2,2,NA,1,1,1,1,1,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01,03,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0176.1,3.8571428571428568,0.28823529411764703
