Column,ID_PER,CVE_ENT,NOM_ENT,CEN_INT,NOM_INT,COD_RES,SEXO,FUERO,P2_1,P2_2,P2_3_01,P2_3_02,P2_3_03,P2_3_04,P2_3_05,P2_3_06,P2_3_07,P2_3_08,P2_3_09,P2_3_10,P2_3_98,P2_3_99,P2_4,P2_5,P2_6,P2_7_1,P2_8A_1,P2_8M_1,P2_9_1,P2_7_2,P2_8A_2,P2_8M_2,P2_9_2,P2_7_3,P2_8A_3,P2_8M_3,P2_9_3,P2_7_4,P2_8A_4,P2_8M_4,P2_9_4,P2_7_5,P2_8A_5,P2_8M_5,P2_9_5,P2_7_6,P2_8A_6,P2_8M_6,P2_9_6,P2_7_7,P2_8A_7,P2_8M_7,P2_9_7,P2_7_8,P2_8A_8,P2_8M_8,P2_9_8,P2_7_9,P2_8A_9,P2_8M_9,P2_9_9,P2_7_10,P2_8A_10,P2_8M_10,P2_9_10,P2_10_E,R2_10_CVE,R2_10_X,P2_11,P2_12,P2_13,P2_14_1,P2_14_2,P2_14_3,P2_14_4,P2_14_5,P2_14_6,P2_14_7,P2_14_8,P2_14_9,P2_15,P3_1,P3_2,P3_2A_01,P3_2A_02,P3_2A_03,P3_2A_04,P3_2A_05,P3_2A_06,P3_2A_07,P3_2A_08,P3_2A_98,P3_2A_99,P3_3,P3_4,P3_5_D,P3_5_M,P3_5_A,P3_6,P3_7,P3_8_D,P3_8_M,P3_8_A,P3_9,P3_10,P3_11,P3_12_1,P3_12_2,P3_12_3,P3_12_4,P3_12_5,P3_13_01,P3_13_02,P3_13_03,P3_13_04,P3_13_05,P3_13_06,P3_13_07,P3_13_08,P3_13_09,P3_13_10,P3_13_11,P3_13_12,P3_14_1,P3_14_2,P3_14_3,P3_14_4,P3_14_5,P3_14_6,P3_15_1,P3_15_2,P3_15_3,P3_15_4,P3_15_5,P3_15_6,P3_15_7,P3_15_8,P3_15_9,P3_16,P3_17_01,P3_17_02,P3_17_03,P3_17_04,P3_17_05,P3_17_06,P3_17_07,P3_17_08,P3_17_09,P3_17_10,P3_17_11,P3_18_01,P3_18_02,P3_18_03,P3_18_04,P3_18_05,P3_18_06,P3_18_07,P3_18_08,P3_18_09,P3_18_10,P3_18_11,P3_18_12,P3_18_13,P3_18_14,P3_18_15,P3_19,P3_20,P3_21_1,P3_21_2,P3_22_1,P3_22_2,P3_22_3,P3_22_4,P3_22_5,P3_22_8,P3_22_9,P3_23,P3_24,P3_25,P3_26,EST_DIS,FAC_PER,FPC
19,0101.8427,27,Tabasco,50,CERESO VILLAHERMOSA,01,2,2,27,02,0,0,1,0,1,1,0,0,0,0,0,0,1,01,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,CUIDAR DE ADULTOS MAYORES,5299,05,1,NA,NA,1,2,1,1,1,1,1,2,1,2,3,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,005,23,09,2018,27,005,11,09,2018,2,5,2,NA,NA,NA,NA,NA,2,1,1,1,2,2,1,1,2,2,2,NA,2,2,2,2,2,2,1,2,2,NA,NA,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,04,06,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2795.2,1.0176991150442478,1
20,0101.8531,23,Quintana Roo,NA,NA,01,1,2,23,01,0,1,1,1,1,1,1,0,0,0,0,0,1,03,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,MESERO SERVIBAR,5116,05,1,NA,NA,1,2,1,1,2,1,1,2,2,3,4,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,005,28,08,2019,23,005,26,08,2019,2,3,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,2,1,2,2,2,NA,1,1,2,2,2,1,1,2,2,NA,NA,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,03,04,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0381.1,3.4632352941176476,0.33090024330900242
21,0101.8676,31,Yucatán,53,CERESO MERIDA,01,1,2,31,01,0,0,0,0,0,1,0,0,0,0,0,0,1,02,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,AYUDANTE DE ALBANIL,9221,09,1,NA,NA,1,2,1,2,1,2,3,2,2,2,1,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,050,28,12,2016,31,050,98,07,2016,5,3,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,1,2,2,2,2,NA,1,2,2,1,2,2,1,2,2,NA,NA,2,2,2,2,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,01,07,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2884.1,2.3467230443974629,0.34077809798270892
26,0102.0327,05,Coahuila de Zaragoza,NA,NA,01,1,2,05,01,0,0,1,1,1,0,0,0,0,0,0,0,1,03,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,02,06,2,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,OPERADOR MAQUINARIA PESADA,8351,08,1,NA,NA,1,1,1,2,1,2,3,1,1,2,3,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05,035,98,06,2008,05,035,06,06,2005,6,5,1,NA,NA,NA,NA,NA,2,1,1,1,2,2,1,1,2,2,2,NA,2,2,1,2,2,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,03,09,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2226.1,4.8888888888888893,0.1924198250728863
31,0102.1838,23,Quintana Roo,NA,NA,01,1,2,23,01,0,1,0,0,0,0,1,0,0,0,0,0,1,03,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,ARTESANO,7999,07,1,NA,NA,1,2,1,1,1,1,1,1,1,5,4,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,005,16,10,2016,23,005,08,07,2016,5,3,NA,NA,NA,NA,NA,NA,1,2,1,2,2,2,1,1,2,2,2,NA,2,2,2,2,2,1,1,2,2,NA,NA,2,2,2,2,1,1,2,1,2,1,2,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,05,05,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0381.1,3.4632352941176476,0.33090024330900242
40,0102.7383,31,Yucatán,53,CERESO MERIDA,01,2,2,23,01,0,1,0,0,0,0,1,0,0,0,0,0,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01,1,2,2,2,2,2,2,2,2,7,4,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,041,25,08,2020,31,041,25,08,2020,1,2,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,1,2,2,2,NA,2,2,2,2,2,2,1,2,2,NA,NA,2,2,2,2,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,04,09,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2390.2,1.0434782608695654,0.95833333333333337
44,0102.9827,27,Tabasco,NA,NA,01,1,2,27,01,0,1,0,0,0,0,1,0,0,0,0,0,1,03,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,CORTABA LIMONES,6114,06,1,NA,NA,1,1,1,2,2,1,1,2,1,2,3,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,008,98,02,2021,27,008,98,11,2020,5,5,2,NA,NA,NA,NA,NA,1,2,1,2,2,2,2,2,2,2,2,NA,1,2,2,1,1,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01,03,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2328.1,4.0000000000000009,0.29351535836177473
45,0102.9983,27,Tabasco,50,CERESO VILLAHERMOSA,01,1,2,27,01,0,1,1,0,0,0,0,0,0,0,0,0,1,03,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,AYUDANTE DE MECANICO,9231,09,1,NA,NA,1,2,1,1,1,2,1,2,1,1,4,02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,004,04,02,2014,27,004,04,02,2014,1,1,NA,NA,NA,NA,NA,NA,2,1,1,1,2,1,1,1,1,2,2,NA,2,2,1,2,2,2,1,2,2,NA,NA,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,03,03,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0573.1,2.9999999999999996,0.38732394366197181
56,0103.5373,31,Yucatán,53,CERESO MERIDA,01,1,2,31,01,1,0,0,0,0,0,0,0,0,0,0,0,1,04,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,SOLDADOR MECANICO,7212,07,1,NA,NA,1,2,1,1,1,1,1,2,2,4,1,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,050,26,04,2013,31,050,98,98,9998,6,3,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,2,2,2,NA,1,1,2,1,2,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01,01,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2884.1,2.3467230443974629,0.34077809798270892
57,0103.5664,27,Tabasco,50,CERESO VILLAHERMOSA,01,1,2,27,01,0,1,0,0,0,0,1,0,0,0,0,0,1,02,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,00,02,1,2,NA,NA,NA,COMO GUARDIA DE SEGURIDAD,5313,05,2,NA,02,1,2,1,1,1,1,1,1,1,6,1,02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,004,15,03,2012,27,004,15,03,2012,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,13,09,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0573.1,2.9999999999999996,0.38732394366197181
60,0103.7660,04,Campeche,07,CERESO KOBEN,01,2,2,04,01,0,1,0,0,0,0,1,0,0,0,0,0,1,03,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,COMERCIANTE,4111,04,1,NA,NA,1,2,1,2,1,1,1,1,1,2,4,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04,002,05,02,2021,04,002,98,08,2019,6,3,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,1,1,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01,02,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0517.2,1,1
99,0105.3041,26,Sonora,49,CEFERESO 11 CPS SONORA,01,1,1,27,01,0,1,0,0,0,0,1,0,0,0,0,0,1,03,1,1,06,00,2,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,10,00,2,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,COMERCIANTE,4111,04,1,NA,NA,1,1,2,1,2,1,1,2,2,6,1,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,010,16,03,2020,27,010,16,03,2020,1,1,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,2,2,2,2,NA,1,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01,03,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2346.1,3.2424242424242427,0.30765456329735036
124,0106.6993,31,Yucatán,53,CERESO MERIDA,01,1,2,31,01,1,0,0,0,0,0,0,0,0,0,0,0,1,03,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,ALBANIL,7121,07,1,NA,NA,1,2,1,1,1,1,1,1,1,1,4,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,050,98,10,2008,31,050,98,10,2008,2,5,2,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,2,1,2,NA,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,03,07,1,1,1,0,0,0,0,0,0,2,NA,1,4,2884.1,2.3467230443974629,0.34077809798270892
157,0108.1352,04,Campeche,07,CERESO KOBEN,01,1,2,04,01,0,0,1,0,0,0,0,0,0,0,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,06,00,2,2,NA,NA,NA,1,12,00,2,2,NA,NA,NA,SEMBRANDO EN SU PARCELA,6119,06,1,NA,NA,1,2,1,1,2,1,3,1,1,1,1,05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04,001,15,11,2005,04,001,14,11,2005,1,5,1,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,1,1,1,2,NA,2,2,2,1,2,2,1,2,2,NA,NA,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,01,03,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2352.1,1.7405940594059406,0.5751708428246014
200,0110.0728,23,Quintana Roo,NA,NA,01,1,2,23,01,0,0,1,1,0,0,0,0,0,0,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,1,01,00,2,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,04,00,2,2,NA,NA,NA,TRABAJABA EN UN EXTRA,4211,04,2,NA,03,1,1,1,2,1,1,2,2,1,1,1,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,005,26,09,2019,23,005,98,03,2019,5,5,1,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,1,2,2,2,NA,2,2,2,2,2,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,02,03,2,1,0,0,0,0,1,0,0,1,00000500,1,4,0381.1,3.4632352941176476,0.33090024330900242
218,0111.0821,27,Tabasco,NA,NA,01,2,2,27,01,0,1,0,0,0,0,1,0,0,0,0,0,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01,1,1,1,1,2,1,2,2,2,1,3,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,006,20,02,2017,27,006,15,02,2017,1,5,1,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,2,2,2,2,NA,1,1,2,1,2,2,1,2,2,NA,NA,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,03,01,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0648.2,1.0344827586206895,0.96666666666666667
219,0111.1225,23,Quintana Roo,NA,NA,01,1,2,07,01,0,1,1,0,1,0,0,0,0,0,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,COMERCIANTE TENIA UNA TIENDA DE MANUALIDADES,4111,04,1,NA,NA,1,2,1,2,2,1,1,2,1,3,3,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,008,05,03,2021,23,008,04,03,2021,1,4,2,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,2,NA,2,2,1,2,2,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,03,04,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0381.1,3.4632352941176476,0.33090024330900242
241,0112.0280,18,Nayarit,38,CEFERESO 4 NOROESTE,01,1,1,05,01,0,1,0,0,0,0,0,0,0,0,0,0,1,03,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,ALBAÑIL,7121,07,1,NA,NA,1,2,1,2,1,1,1,1,1,2,4,02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05,012,10,05,2014,05,012,10,05,2014,1,5,2,NA,NA,NA,NA,NA,1,2,1,2,2,2,1,1,2,2,2,NA,2,2,1,2,2,2,1,2,2,NA,NA,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,14,06,1,1,1,0,1,0,0,0,0,1,01000000,1,5,1211.1,1.626005361930295,0.5987158908507223
256,0112.6358,27,Tabasco,50,CERESO VILLAHERMOSA,01,1,2,27,03,1,0,0,0,0,0,0,0,0,0,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,OBRERO,7999,07,1,NA,NA,1,2,1,1,1,2,3,2,1,4,1,02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,004,17,05,2018,27,004,17,05,2018,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,1,1,2,2,2,NA,1,1,1,1,2,1,1,2,2,NA,NA,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,01,03,1,2,1,0,0,0,0,0,0,2,NA,1,3,0573.1,2.9999999999999996,0.38732394366197181
262,0112.9912,05,Coahuila de Zaragoza,NA,NA,01,1,2,05,01,0,1,0,0,0,0,1,0,0,0,0,0,1,07,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,01,05,2,2,NA,NA,NA,CONSTRUCCION,7121,07,1,NA,NA,1,2,1,1,2,1,1,2,1,1,1,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05,017,21,02,2021,05,017,20,01,2020,6,3,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,2,2,2,2,NA,2,2,1,2,2,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,02,02,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2226.1,4.8888888888888893,0.1924198250728863
264,0113.0563,05,Coahuila de Zaragoza,NA,NA,01,1,2,05,01,0,0,0,1,0,0,0,0,0,0,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,OBRERO DE CONSTRUCCION,7121,07,1,NA,NA,1,2,1,1,1,1,3,1,1,2,1,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05,033,06,11,2009,05,033,02,11,2009,2,3,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,1,2,2,NA,NA,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01,05,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2226.1,4.8888888888888893,0.1924198250728863
270,0113.4141,04,Campeche,07,CERESO KOBEN,01,1,2,20,01,0,1,0,0,0,0,1,0,0,0,0,0,2,NA,1,1,01,00,2,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,CAMPESINO,6119,06,1,NA,NA,1,2,2,1,2,2,2,2,2,1,1,03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04,009,98,05,2019,04,009,07,03,2006,1,2,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,2,2,2,2,2,NA,1,1,1,1,1,1,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01,04,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2352.1,1.7405940594059406,0.5751708428246014
273,0113.5630,04,Campeche,07,CERESO KOBEN,01,1,2,04,01,0,1,0,0,0,0,0,0,0,0,0,0,1,01,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,AGRICULTURA,6119,06,1,NA,NA,2,2,2,2,2,2,2,2,2,2,1,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04,009,18,08,2018,04,003,18,08,2018,1,2,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,1,2,2,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,01,03,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2352.1,1.7405940594059406,0.5751708428246014
297,0114.7294,27,Tabasco,NA,NA,01,1,2,27,02,0,1,0,0,0,0,1,0,0,0,0,0,1,03,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,MAESTRO DE PRIMARIA,2332,02,1,NA,NA,1,2,1,1,2,1,1,1,1,5,1,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,012,26,02,2020,27,012,26,02,2020,1,2,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2,2,2,2,2,2,NA,1,1,1,1,1,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,05,05,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0249.1,3.9814814814814818,0.29189189189189191
309,0115.1773,04,Campeche,07,CERESO KOBEN,01,1,2,04,01,1,0,0,0,0,0,0,0,0,0,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,REPARACION DE ELECTRONICA,2644,02,1,NA,NA,1,2,1,2,1,1,3,1,1,1,4,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04,011,24,04,2020,04,011,24,04,2020,1,5,2,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,NA,1,1,2,1,1,1,1,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,05,08,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2352.1,1.7405940594059406,0.5751708428246014
330,0116.4053,04,Campeche,07,CERESO KOBEN,01,1,2,04,01,0,1,0,0,0,0,0,0,0,0,0,0,1,01,1,1,13,00,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,03,00,2,2,NA,NA,NA,1,07,00,2,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,EN LA POLICIA MUNICIPAL,5312,05,1,NA,NA,1,2,1,1,2,1,1,2,1,2,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04,002,01,11,2014,04,002,01,11,2014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2352.1,1.7405940594059406,0.5751708428246014
