,ID_PER,CVE_ENT,NOM_ENT,CEN_INT,NOM_INT,COD_RES,SEXO,FUERO,P2_1,P2_2,P2_3_01,P2_3_02,P2_3_03,P2_3_04,P2_3_05,P2_3_06,P2_3_07,P2_3_08,P2_3_09,P2_3_10,P2_3_98,P2_3_99,P2_4,P2_5,P2_6,P2_7_1,P2_8A_1,P2_8M_1,P2_9_1,P2_7_2,P2_8A_2,P2_8M_2,P2_9_2,P2_7_3,P2_8A_3,P2_8M_3,P2_9_3,P2_7_4,P2_8A_4,P2_8M_4,P2_9_4,P2_7_5,P2_8A_5,P2_8M_5,P2_9_5,P2_7_6,P2_8A_6,P2_8M_6,P2_9_6,P2_7_7,P2_8A_7,P2_8M_7,P2_9_7,P2_7_8,P2_8A_8,P2_8M_8,P2_9_8,P2_7_9,P2_8A_9,P2_8M_9,P2_9_9,P2_7_10,P2_8A_10,P2_8M_10,P2_9_10,P2_10_E,R2_10_CVE,R2_10_X,P2_11,P2_12,P2_13,P2_14_1,P2_14_2,P2_14_3,P2_14_4,P2_14_5,P2_14_6,P2_14_7,P2_14_8,P2_14_9,P2_15,P3_1,P3_2,P3_2A_01,P3_2A_02,P3_2A_03,P3_2A_04,P3_2A_05,P3_2A_06,P3_2A_07,P3_2A_08,P3_2A_98,P3_2A_99,P3_3,P3_4,P3_5_D,P3_5_M,P3_5_A,P3_6,P3_7,P3_8_D,P3_8_M,P3_8_A,P3_9,P3_10,P3_11,P3_12_1,P3_12_2,P3_12_3,P3_12_4,P3_12_5,P3_13_01,P3_13_02,P3_13_03,P3_13_04,P3_13_05,P3_13_06,P3_13_07,P3_13_08,P3_13_09,P3_13_10,P3_13_11,P3_13_12,P3_14_1,P3_14_2,P3_14_3,P3_14_4,P3_14_5,P3_14_6,P3_15_1,P3_15_2,P3_15_3,P3_15_4,P3_15_5,P3_15_6,P3_15_7,P3_15_8,P3_15_9,P3_16,P3_17_01,P3_17_02,P3_17_03,P3_17_04,P3_17_05,P3_17_06,P3_17_07,P3_17_08,P3_17_09,P3_17_10,P3_17_11,P3_18_01,P3_18_02,P3_18_03,P3_18_04,P3_18_05,P3_18_06,P3_18_07,P3_18_08,P3_18_09,P3_18_10,P3_18_11,P3_18_12,P3_18_13,P3_18_14,P3_18_15,P3_19,P3_20,P3_21_1,P3_21_2,P3_22_1,P3_22_2,P3_22_3,P3_22_4,P3_22_5,P3_22_8,P3_22_9,P3_23,P3_24,P3_25,P3_26,EST_DIS,FAC_PER,FPC
639,131.5031,13,Hidalgo,23,CERESO PACHUCA,1,2,2,11,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,COMERCIANTE DE CALZADO DE MANERA AMULANTE,9512,9,1,NA,NA,1,2,1,1,1,1,3,1,1,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,20,24,11,2011,13,38,98,98,9998,2,5,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1906.2,1,1
640,131.5096,15,Estado de M�xico,28,CERESO ECATEPEC DR. SERGIO GARCIA RAMIREZ,1,1,2,15,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NEGOCIOS DE SUSPERNSIONES,9999,99,NA,NA,99,1,2,1,1,1,1,3,1,1,6,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,33,7,8,2012,15,33,7,8,2012,1,1,NA,NA,NA,NA,NA,NA,2,1,1,2,1,2,1,1,1,1,2,NA,2,2,1,2,2,1,1,2,2,NA,NA,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,7,6,1,1,1,0,0,0,0,0,0,2,NA,1,5,334.1,7.25,0.131157731157731
641,131.5335,12,Guerrero,22,CERESO ACAPULCO DE JUAREZ,1,1,2,12,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,0,6,2,2,NA,NA,NA,CARPINTERO,7311,7,2,NA,3,1,2,1,1,2,1,1,2,1,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,29,17,7,2017,12,29,10,7,2017,3,1,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,1,1,1,2,2,NA,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,3,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,101.1,2.65747460087083,0.4140625
642,131.7784,15,Estado de M�xico,NA,NA,1,1,2,15,1,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,INTENDENCIA,9621,9,1,NA,NA,1,1,2,1,2,2,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,55,20,1,2016,15,54,20,1,2016,1,2,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,2,1,2,2,2,NA,2,2,1,2,2,1,1,2,2,NA,NA,2,2,2,2,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,7,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1223.1,4.12627986348123,0.298674821610601
643,131.839,8,Chihuahua,12,CERESO ESTATAL NO.3,1,1,2,8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,CALL CENTER,9999,99,NA,NA,99,1,2,1,2,1,1,1,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,37,15,4,2016,8,37,15,4,2016,1,2,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,1,2,2,2,NA,2,2,1,1,2,2,1,2,2,NA,NA,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,199.1,4.98450704225352,0.212384086150164
644,131.8662,16,Michoac�n de Ocampo,NA,NA,1,1,2,17,1,0,1,0,0,0,0,1,0,0,0,0,0,1,4,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,MINERO,7199,7,1,NA,NA,1,2,1,2,1,1,1,1,1,8,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,53,15,1,2015,16,79,10,1,2015,2,5,1,NA,NA,NA,NA,NA,2,1,1,1,2,2,1,1,2,2,2,NA,2,2,2,2,2,2,1,2,2,NA,NA,2,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2159.1,3.61162079510703,0.344573234984194
645,131.9324,9,Ciudad de M�xico,16,RECLUSORIO PREVENTIVO VARONIL SUR,1,1,2,9,2,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,ELECTRICO AUTOMOTRIZ,2646,2,1,NA,NA,1,1,1,2,1,1,1,2,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13,15,12,2007,9,13,15,12,2007,1,1,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,13,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,184.1,8.70535714285714,0.396881644223955
646,131.9579,15,Estado de M�xico,31,CERESO CHALCO MIXQUIC,1,1,2,15,1,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,MESERO,5116,5,1,NA,NA,1,2,1,2,1,1,1,1,1,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,19,11,2019,15,25,19,11,2019,1,1,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,2,2,2,2,2,NA,1,1,1,1,2,2,1,2,2,NA,NA,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2604.1,3.77329192546584,0.22258064516129
647,132.052,31,Yucat�n,53,CERESO MERIDA,1,1,2,31,1,1,0,0,0,0,0,0,0,0,0,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,CARPINTERO,7311,7,1,NA,NA,1,2,1,2,1,1,2,1,2,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,101,28,3,2001,31,101,28,3,2001,1,2,NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,2,2,2,2,2,NA,8,8,1,1,2,1,1,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2884.1,2.34672304439746,0.340778097982709
648,132.0872,2,Baja California,5,CERESO EL HONGO,1,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,1,1,3,2,2,NA,NA,NA,NO TRABAJABA,1008,97,NA,9,6,2,1,1,1,2,2,2,1,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,10,5,2011,2,4,5,5,2011,2,5,1,NA,NA,NA,NA,NA,2,1,1,1,2,2,1,2,2,2,2,NA,1,1,1,2,2,2,1,2,2,NA,NA,2,2,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,2,1,1,1,0,0,0,0,0,0,2,NA,8,NA,2577.1,5.25741239892183,0.227119681665136
649,132.1076,15,Estado de M�xico,28,CERESO ECATEPEC DR. SERGIO GARCIA RAMIREZ,1,2,2,9,1,0,0,1,0,1,0,0,0,0,0,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,SECRETARIA DE BANCO,3111,3,1,NA,NA,1,2,1,2,1,1,3,2,1,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,33,14,4,2020,15,33,14,4,2020,1,2,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,2,2,2,2,NA,1,2,1,1,1,1,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,676.2,1.01933701657459,0.986376021798365
650,132.1801,16,Michoac�n de Ocampo,NA,NA,1,1,2,16,1,0,0,0,0,0,0,0,0,0,1,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,TALEER DE LAMINERIA,9999,99,NA,NA,99,1,1,2,2,2,2,3,2,1,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,25,28,11,2015,16,108,28,11,2015,8,5,2,NA,NA,NA,NA,NA,2,1,1,1,2,2,2,1,2,2,2,NA,2,2,1,2,2,2,1,2,2,NA,NA,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2159.1,3.61162079510703,0.344573234984194
651,132.2771,22,Quer�taro,45,CERESO SAN JOSE EL ALTO,1,1,2,22,1,0,1,0,0,0,0,1,0,0,0,0,0,1,4,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,PINTOR,7135,7,1,NA,NA,1,2,1,1,2,1,1,2,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,14,16,3,2020,22,14,8,3,2020,2,3,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,1,1,1,2,NA,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,10,5,2,1,1,0,0,0,0,0,0,2,NA,1,5,154.1,2.75815217391304,0.363816114681167
652,132.2916,2,Baja California,3,CERESO TIJUANA,1,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,NA,1,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,EMPLEADA DOMESTICA,9611,9,1,NA,NA,1,2,1,1,1,1,3,2,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,13,3,2009,2,4,98,98,9998,3,5,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,1,2,1,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,372.2,1.115625,0.993788819875776
